Diesel, Benzin E10,Benzin E5, LPG, Uhrzeit, Tanlstelle
1.60,1.73,1.79,0.75,2021-11-06 22:03:55.479496,10063
1.55,1.67,1.70,0.83,2021-11-06 22:03:56.366348,37955
1.55,1.67,1.73,0.86,2021-11-06 22:03:57.319331,40018
1.53,1.63,1.69,0.78,2021-11-06 22:13:58.245945,21974
1.60,1.73,1.79,0.75,2021-11-06 22:14:00.388026,10063
1.55,1.67,1.70,0.83,2021-11-06 22:14:01.444900,37955
1.55,1.67,1.73,0.86,2021-11-06 22:14:02.606090,40018
1.53,1.63,1.69,0.78,2021-11-06 22:24:03.848841,21974
1.60,1.73,1.79,0.75,2021-11-06 22:24:05.025162,10063
1.55,1.67,1.70,0.83,2021-11-06 22:24:06.184050,37955
1.55,1.67,1.73,0.86,2021-11-06 22:24:07.017634,40018
1.53,1.63,1.69,0.78,2021-11-06 22:34:08.039523,21974
1.60,1.73,1.79,0.75,2021-11-06 22:34:09.360773,10063
1.55,1.67,1.70,0.83,2021-11-06 22:34:14.683650,37955
1.55,1.67,1.73,0.86,2021-11-06 22:34:15.729427,40018
1.53,1.63,1.69,0.78,2021-11-06 22:44:16.930901,21974
1.60,1.73,1.79,0.75,2021-11-06 22:44:17.980594,10063
1.55,1.67,1.70,0.83,2021-11-06 22:44:19.058228,37955
1.55,1.67,1.73,0.86,2021-11-06 22:44:19.997284,40018
1.56,1.66,1.72,0.78,2021-11-07 11:47:21.686587,21974
1.62,1.73,1.79,0.75,2021-11-07 11:47:22.658497,10063
1.55,1.67,1.70,0.83,2021-11-07 11:47:23.873439,37955
1.55,1.66,1.72,0.86,2021-11-07 11:47:24.796166,40018
1.56,1.66,1.72,0.78,2021-11-07 11:57:26.062388,21974
1.62,1.73,1.79,0.75,2021-11-07 11:57:27.063336,10063
1.55,1.67,1.70,0.83,2021-11-07 11:57:28.398078,37955
1.55,1.66,1.72,0.86,2021-11-07 11:57:29.987573,40018
1.56,1.66,1.72,0.78,2021-11-07 12:07:31.709401,21974
1.61,1.73,1.79,0.75,2021-11-07 12:07:33.100162,10063
1.55,1.67,1.70,0.83,2021-11-07 12:07:34.501576,37955
1.55,1.66,1.72,0.86,2021-11-07 12:07:35.736507,40018
1.56,1.66,1.72,0.78,2021-11-07 12:17:37.271044,21974
1.64,1.80,1.86,0.75,2021-11-07 12:17:38.287508,10063
1.55,1.67,1.70,0.83,2021-11-07 12:17:39.861320,37955
1.55,1.66,1.72,0.86,2021-11-07 12:17:41.127255,40018
1.56,1.66,1.72,0.78,2021-11-07 12:27:42.332786,21974
1.64,1.80,1.86,0.75,2021-11-07 12:27:43.315558,10063
1.55,1.67,1.70,0.83,2021-11-07 12:27:44.305628,37955
1.55,1.66,1.72,0.86,2021-11-07 12:27:45.583043,40018
1.61,1.71,1.77,0.78,2021-11-07 12:37:46.638142,21974
1.64,1.80,1.86,0.75,2021-11-07 12:37:47.910698,10063
1.55,1.67,1.70,0.83,2021-11-07 12:37:49.223613,37955
1.55,1.66,1.72,0.86,2021-11-07 12:37:50.270729,40018
1.61,1.71,1.77,0.78,2021-11-07 12:47:51.440408,21974
1.64,1.80,1.86,0.75,2021-11-07 12:47:52.444215,10063
1.55,1.67,1.70,0.83,2021-11-07 12:47:53.651223,37955
1.59,1.69,1.75,0.86,2021-11-07 12:47:54.696483,40018
1.57,1.70,1.76,0.78,2021-11-07 12:57:55.991809,21974
1.64,1.80,1.86,0.75,2021-11-07 12:57:57.319207,10063
1.55,1.67,1.70,0.83,2021-11-07 12:57:59.356333,37955
1.59,1.69,1.75,0.86,2021-11-07 12:58:00.492671,40018
1.57,1.66,1.72,0.78,2021-11-07 13:08:02.195405,21974
1.64,1.80,1.86,0.75,2021-11-07 13:08:03.930067,10063
1.55,1.67,1.70,0.83,2021-11-07 13:08:05.028776,37955
1.59,1.69,1.75,0.86,2021-11-07 13:08:06.257947,40018
1.57,1.67,1.73,0.78,2021-11-07 13:18:11.195148,21974
1.64,1.73,1.79,0.75,2021-11-07 13:18:12.291049,10063
1.55,1.67,1.70,0.83,2021-11-07 13:18:13.401970,37955
1.59,1.69,1.75,0.86,2021-11-07 13:18:14.571768,40018
1.53,1.64,1.70,0.78,2021-11-07 13:28:15.548737,21974
1.59,1.72,1.78,0.75,2021-11-07 13:28:16.967421,10063
1.55,1.67,1.70,0.83,2021-11-07 13:28:18.189903,37955
1.56,1.69,1.75,0.86,2021-11-07 13:28:19.372693,40018
1.53,1.64,1.70,0.78,2021-11-07 13:38:20.745790,21974
1.58,1.71,1.77,0.75,2021-11-07 13:38:21.935583,10063
1.55,1.67,1.70,0.83,2021-11-07 13:38:23.199811,37955
1.56,1.69,1.75,0.86,2021-11-07 13:38:24.468770,40018
1.52,1.64,1.70,0.78,2021-11-07 13:48:26.074407,21974
1.58,1.71,1.77,0.75,2021-11-07 13:48:27.315289,10063
1.55,1.67,1.70,0.83,2021-11-07 13:48:28.599306,37955
1.56,1.69,1.75,0.86,2021-11-07 13:48:30.346777,40018
1.52,1.64,1.70,0.78,2021-11-07 13:58:31.765274,21974
1.58,1.71,1.77,0.75,2021-11-07 13:58:33.546050,10063
1.55,1.67,1.70,0.83,2021-11-07 13:58:34.847256,37955
1.55,1.65,1.71,0.86,2021-11-07 13:58:35.940332,40018
1.52,1.64,1.70,0.78,2021-11-07 14:08:37.577340,21974
1.58,1.71,1.77,0.75,2021-11-07 14:08:38.970036,10063
1.55,1.67,1.70,0.83,2021-11-07 14:08:40.510055,37955
1.55,1.65,1.71,0.86,2021-11-07 14:08:41.598422,40018
1.52,1.63,1.69,0.78,2021-11-07 14:18:42.780640,21974
1.58,1.71,1.77,0.75,2021-11-07 14:18:45.442538,10063
1.55,1.67,1.70,0.83,2021-11-07 14:18:47.453633,37955
1.55,1.65,1.71,0.86,2021-11-07 14:18:48.806877,40018
1.51,1.63,1.69,0.78,2021-11-07 14:28:49.967951,21974
1.58,1.71,1.77,0.75,2021-11-07 14:28:50.994531,10063
1.55,1.67,1.70,0.83,2021-11-07 14:28:52.237980,37955
1.55,1.65,1.71,0.86,2021-11-07 14:28:53.127562,40018
1.51,1.63,1.69,0.78,2021-11-07 14:38:54.500704,21974
1.58,1.71,1.77,0.75,2021-11-07 14:38:55.706151,10063
1.55,1.67,1.70,0.83,2021-11-07 14:38:58.026829,37955
1.55,1.65,1.71,0.86,2021-11-07 14:38:59.565480,40018
1.51,1.63,1.69,0.78,2021-11-07 14:49:01.043934,21974
1.58,1.71,1.77,0.75,2021-11-07 14:49:02.144706,10063
1.55,1.67,1.70,0.83,2021-11-07 14:49:03.334725,37955
1.55,1.65,1.71,0.86,2021-11-07 14:49:04.660962,40018
1.51,1.62,1.68,0.78,2021-11-07 14:59:05.963420,21974
1.58,1.70,1.76,0.75,2021-11-07 14:59:07.132151,10063
1.55,1.67,1.70,0.83,2021-11-07 14:59:08.694403,37955
1.55,1.65,1.71,0.86,2021-11-07 14:59:10.103774,40018
1.50,1.62,1.68,0.78,2021-11-07 15:09:11.363292,21974
1.58,1.70,1.76,0.75,2021-11-07 15:09:12.777507,10063
1.55,1.67,1.70,0.83,2021-11-07 15:09:13.725926,37955
1.55,1.65,1.71,0.86,2021-11-07 15:09:14.981242,40018
1.50,1.62,1.68,0.78,2021-11-07 15:19:21.285939,21974
1.63,1.74,1.80,0.75,2021-11-07 15:19:22.853179,10063
1.55,1.67,1.70,0.83,2021-11-07 15:19:24.445187,37955
1.55,1.65,1.71,0.86,2021-11-07 15:19:25.685953,40018
1.50,1.62,1.68,0.78,2021-11-07 15:29:27.198903,21974
1.63,1.74,1.80,0.75,2021-11-07 15:29:28.623841,10063
1.55,1.67,1.70,0.83,2021-11-07 15:29:29.750417,37955
1.55,1.65,1.71,0.86,2021-11-07 15:29:31.384787,40018
1.54,1.66,1.72,0.78,2021-11-07 15:39:33.754011,21974
1.63,1.74,1.80,0.75,2021-11-07 15:39:35.073782,10063
1.55,1.67,1.70,0.83,2021-11-07 15:39:36.264731,37955
1.59,1.69,1.75,0.86,2021-11-07 15:39:37.591001,40018
1.54,1.66,1.72,0.78,2021-11-07 15:49:39.124335,21974
1.63,1.74,1.80,0.75,2021-11-07 15:49:42.109125,10063
1.55,1.67,1.70,0.83,2021-11-07 15:49:43.778261,37955
1.59,1.69,1.75,0.86,2021-11-07 15:49:45.557752,40018
1.55,1.66,1.72,0.78,2021-11-07 15:59:46.722802,21974
1.63,1.74,1.80,0.75,2021-11-07 15:59:47.877162,10063
1.55,1.67,1.70,0.83,2021-11-07 15:59:49.473549,37955
1.59,1.69,1.75,0.86,2021-11-07 15:59:50.653592,40018
1.55,1.66,1.72,0.78,2021-11-07 16:09:52.425756,21974
1.61,1.73,1.79,0.75,2021-11-07 16:09:53.997336,10063
1.55,1.67,1.70,0.83,2021-11-07 16:09:55.222027,37955
1.59,1.67,1.73,0.86,2021-11-07 16:09:56.468275,40018
1.55,1.66,1.72,0.78,2021-11-07 16:19:57.417691,21974
1.61,1.73,1.79,0.75,2021-11-07 16:19:59.499037,10063
1.55,1.67,1.70,0.83,2021-11-07 16:20:02.382196,37955
1.59,1.67,1.73,0.86,2021-11-07 16:20:05.702165,40018
1.55,1.66,1.72,0.78,2021-11-07 16:30:14.513169,21974
1.61,1.73,1.79,0.75,2021-11-07 16:30:25.062963,10063
1.55,1.67,1.70,0.83,2021-11-07 16:30:31.126837,37955
1.56,1.67,1.73,0.86,2021-11-07 16:30:33.023511,40018
1.55,1.66,1.72,0.78,2021-11-07 16:40:36.123548,21974
1.61,1.72,1.78,0.75,2021-11-07 16:40:39.984878,10063
1.55,1.67,1.70,0.83,2021-11-07 16:40:42.909407,37955
1.56,1.67,1.73,0.86,2021-11-07 16:40:44.113890,40018
1.55,1.66,1.72,0.78,2021-11-07 16:50:47.141683,21974
1.61,1.72,1.78,0.75,2021-11-07 16:50:48.329812,10063
1.55,1.67,1.70,0.83,2021-11-07 16:50:50.877673,37955
1.55,1.65,1.71,0.86,2021-11-07 16:50:51.880490,40018
1.55,1.65,1.71,0.78,2021-11-07 17:00:53.565564,21974
1.61,1.72,1.78,0.75,2021-11-07 17:00:54.911747,10063
1.55,1.67,1.70,0.83,2021-11-07 17:00:55.999421,37955
1.55,1.65,1.71,0.86,2021-11-07 17:00:57.184525,40018
1.54,1.64,1.70,0.78,2021-11-07 17:10:59.101464,21974
1.61,1.72,1.78,0.75,2021-11-07 17:11:02.916301,10063
1.55,1.67,1.70,0.83,2021-11-07 17:11:11.208197,37955
1.55,1.65,1.71,0.86,2021-11-07 17:11:15.255883,40018
1.54,1.64,1.70,0.78,2021-11-07 17:21:19.298490,21974
1.63,1.74,1.80,0.75,2021-11-07 17:21:20.662815,10063
1.55,1.67,1.70,0.83,2021-11-07 17:21:22.874461,37955
1.55,1.65,1.71,0.86,2021-11-07 17:21:23.960032,40018
1.55,1.65,1.71,0.78,2021-11-07 17:31:25.130348,21974
1.63,1.74,1.80,0.75,2021-11-07 17:31:30.184618,10063
1.55,1.67,1.70,0.83,2021-11-07 17:31:34.384681,37955
1.55,1.65,1.71,0.86,2021-11-07 17:31:37.982715,40018
1.56,1.66,1.72,0.78,2021-11-07 17:41:40.098235,21974
1.63,1.74,1.80,0.75,2021-11-07 17:41:41.773411,10063
1.55,1.67,1.70,0.83,2021-11-07 17:41:43.681391,37955
1.57,1.67,1.73,0.86,2021-11-07 17:41:45.759071,40018
1.56,1.66,1.72,0.78,2021-11-07 17:51:47.366749,21974
1.63,1.74,1.80,0.75,2021-11-07 17:51:51.124680,10063
1.55,1.67,1.70,0.83,2021-11-07 17:51:52.462827,37955
1.57,1.67,1.73,0.86,2021-11-07 17:51:54.631659,40018
1.54,1.64,1.70,0.78,2021-11-07 18:01:56.242619,21974
1.63,1.74,1.80,0.75,2021-11-07 18:01:57.268944,10063
1.55,1.67,1.70,0.83,2021-11-07 18:01:58.815302,37955
1.57,1.67,1.73,0.86,2021-11-07 18:02:00.128163,40018
1.54,1.64,1.70,0.78,2021-11-07 18:12:01.775440,21974
1.61,1.72,1.78,0.75,2021-11-07 18:12:03.090676,10063
1.55,1.67,1.70,0.83,2021-11-07 18:12:06.154949,37955
1.57,1.67,1.73,0.86,2021-11-07 18:12:07.645367,40018
1.53,1.67,1.73,0.78,2021-11-14 21:13:58.189433,21974
1.59,1.74,1.80,0.75,2021-11-14 21:13:59.626918,10063
1.55,1.67,1.70,0.83,2021-11-14 21:14:01.736368,37955
1.56,1.70,1.76,0.86,2021-11-14 21:14:04.455658,40018
1.53,1.68,1.74,0.78,2021-11-14 21:43:44.617352,21974
1.53,1.68,1.74,0.78,2021-11-14 21:45:19.345646,21974
1.63,1.77,1.83,0.75,2021-11-14 21:45:23.261071,10063
1.55,1.67,1.70,0.83,2021-11-14 21:45:33.208830,37955
1.56,1.70,1.76,0.86,2021-11-14 21:45:37.565275,40018
1.53,1.68,1.74,0.78,2021-11-14 21:55:41.848368,21974
1.63,1.77,1.83,0.75,2021-11-14 21:55:47.000867,10063
1.55,1.67,1.70,0.83,2021-11-14 21:55:53.041259,37955
1.56,1.70,1.76,0.86,2021-11-14 21:55:57.904898,40018
1.53,1.68,1.74,0.78,2021-11-14 22:06:03.309480,21974
1.63,1.77,1.83,0.75,2021-11-14 22:06:07.335284,10063
1.55,1.67,1.70,0.83,2021-11-14 22:06:12.174993,37955
1.56,1.70,1.76,0.86,2021-11-14 22:06:16.170189,40018
1.53,1.68,1.74,0.78,2021-11-14 22:16:20.244842,21974
1.63,1.77,1.83,0.75,2021-11-14 22:16:24.104486,10063
1.55,1.67,1.70,0.83,2021-11-14 22:16:28.619942,37955
1.56,1.70,1.76,0.86,2021-11-14 22:16:32.524490,40018
1.57,1.72,1.78,0.78,2021-11-14 22:26:36.418418,21974
1.63,1.77,1.83,0.75,2021-11-14 22:26:40.533773,10063
1.55,1.67,1.70,0.83,2021-11-14 22:26:44.514501,37955
1.60,1.74,1.80,0.86,2021-11-14 22:26:48.710805,40018
1.57,1.72,1.78,0.78,2021-11-14 22:36:52.767826,21974
1.63,1.77,1.83,0.75,2021-11-14 22:36:56.509583,10063
1.55,1.67,1.70,0.83,2021-11-14 22:37:00.341036,37955
1.60,1.74,1.80,0.86,2021-11-14 22:37:04.490270,40018
1.57,1.72,1.78,0.78,2021-11-14 22:47:08.366242,21974
1.63,1.77,1.83,0.75,2021-11-14 22:47:12.265127,10063
1.55,1.67,1.70,0.83,2021-11-14 22:47:16.264927,37955
1.60,1.74,1.80,0.86,2021-11-14 22:47:20.292429,40018
1.57,1.72,1.78,0.78,2021-11-14 22:57:24.905654,21974
1.63,1.77,1.83,0.75,2021-11-14 22:57:28.785124,10063
1.55,1.67,1.70,0.83,2021-11-14 22:57:32.474503,37955
1.60,1.74,1.80,0.86,2021-11-14 22:57:36.151113,40018
1.57,1.72,1.78,0.78,2021-11-14 23:07:40.000881,21974
1.63,1.77,1.83,0.75,2021-11-14 23:07:44.700611,10063
1.55,1.67,1.70,0.83,2021-11-14 23:07:48.446127,37955
1.60,1.74,1.80,0.86,2021-11-14 23:07:52.142820,40018
1.57,1.72,1.78,0.78,2021-11-14 23:17:56.142397,21974
1.63,1.77,1.83,0.75,2021-11-14 23:18:00.523954,10063
1.55,1.67,1.70,0.83,2021-11-14 23:18:04.622834,37955
1.60,1.74,1.80,0.86,2021-11-14 23:18:08.406767,40018
1.57,1.72,1.78,0.78,2021-11-14 23:28:12.385160,21974
1.63,1.77,1.83,0.75,2021-11-14 23:28:16.914716,10063
1.55,1.67,1.70,0.83,2021-11-14 23:28:21.627456,37955
1.60,1.74,1.80,0.86,2021-11-14 23:28:25.508674,40018
1.57,1.72,1.78,0.78,2021-11-14 23:38:29.290375,21974
1.63,1.77,1.83,0.75,2021-11-14 23:38:38.474444,10063
1.55,1.67,1.70,0.83,2021-11-14 23:38:43.823525,37955
1.60,1.74,1.80,0.86,2021-11-14 23:38:49.076792,40018
1.57,1.72,1.78,0.78,2021-11-14 23:48:54.674067,21974
1.63,1.77,1.83,0.75,2021-11-14 23:48:58.405644,10063
1.55,1.67,1.70,0.83,2021-11-14 23:49:02.804793,37955
1.60,1.74,1.80,0.86,2021-11-14 23:49:09.333504,40018
1.57,1.72,1.78,0.78,2021-11-14 23:59:13.102140,21974
1.63,1.77,1.83,0.75,2021-11-14 23:59:18.752123,10063
1.55,1.67,1.70,0.83,2021-11-14 23:59:22.952122,37955
1.60,1.74,1.80,0.86,2021-11-14 23:59:27.234694,40018
1.57,1.72,1.78,0.78,2021-11-15 00:09:31.746146,21974
1.63,1.77,1.83,0.75,2021-11-15 00:09:35.553076,10063
1.55,1.67,1.70,0.83,2021-11-15 00:09:39.095721,37955
1.60,1.74,1.80,0.86,2021-11-15 00:09:42.617385,40018
1.57,1.72,1.78,0.78,2021-11-15 00:19:46.464907,21974
1.63,1.77,1.83,0.75,2021-11-15 00:19:50.106852,10063
1.55,1.67,1.70,0.83,2021-11-15 00:19:53.850877,37955
